Unnamed: 0,French,English
0,partie,part
1,histoire,history
3,seulement,only
5,pensais,thought
6,aide,help
7,demande,request
9,frère,brother
10,laisser,let
11,car,because
12,mettre,to put
13,aucun,no
14,laisse,leash
15,ville,city
16,chaque,each
19,devrait,should
20,bébé,baby
22,heures,hours
23,vont,will
24,pendant,while
25,revoir,meet again
26,place,square
28,compris,understood
29,savais,knew
31,attention,Warning
32,pourrais,could
33,affaire,case
34,donner,give
35,type,type
36,leurs,their
38,train,train
40,endroit,place
41,yeux,eyes
43,écoute,listen
44,dont,whose
45,trouve,find
46,perdu,lost
47,main,hand
49,côté,side
51,sois,be
52,tiens,here
53,matin,morning
55,point,point
57,suite,after
58,pardon,sorry
59,devant,in front of
62,chambre,bedroom
63,mis,placed
65,droit,law
66,aimerais,would like to
68,mari,husband
70,espère,hope
71,eau,water
72,parti,left
76,terre,Earth
78,loin,far
79,croire,believe
80,chérie,sweetheart
81,gros,large
82,aura,will have
83,filles,girls
84,jouer,to play
85,bureau,office
